SUM of Deposit Amount,,,Payt Status - Yogesh to Enter,,,"Payt Date 
(MM YYYY)",Currency of Advance Deposit,Bank,SUM of Deposit Amount,,,"Payt Date 
(MM YYYY)",Currency of Advance Deposit,Total Count of Payments
"Payt Date 
,,USD,"152,337.00",,,,,DBS,"236,721.58",,,,,
,Asta,USD,"260,983.17",,,,,SCB,"345,150.00",,,,,
,Joey,USD,"775,522.35",,,,RMB Total,,"818,527.58",,,,,
,Robin,USD,"331,990.20",,,,USD,CITI,"394,082.43",,,,,
,Shilpali,USD,"861,656.83",,,,,DBS,"778,505.20",,,,,
,Tricia,USD,"3,307.50",,,,,SCB,"676,325.32",,,,,
,Ulrica,USD,"308,008.00",,,,USD Total,,"1,848,912.95",,,,,
,Yogesh.Tulsiani,USD,"4,290.00",,,Nov-2025,USD,DBS,"4,928.00",,,,,
May-2026,Anil,USD,"77,716.80",,,,USD Total,,"4,928.00",,,,,
,Asta,EUR,"12,868.00",,,,,,,,,,,
,,USD,"162,626.88",,,,,,,,,,,
,Joey,EUR,"21,927.36",,,,,,,,,,,
,,RMB,"236,721.58",,,,,,,,,,,
,,USD,"935,871.91",,,,,,,,,,,
,Robin,USD,"265,297.26",,,,,,,,,,,
,Tricia,RMB,"581,806.00",,,,,,,,,,,
,,USD,"164,521.80",,,,,,,,,,,
,Ulrica,USD,"202,500.00",,,,,,,,,,,
,Yogesh.Tulsiani,USD,"40,378.30",,,,,,,,,,,
Nov-2025,Robin,USD,"4,928.00",,,,,,,,,,,
